g_loss,d_loss
"[3814527.0, 2014.7623, 1050112.2, 4354620.0, 7310350.5]",[62.5  0.5]
"[3546809.0, 2014.7623, 954283.8, 4117643.8, 6750762.0]",[62.5  0.5]
"[3389022.5, 2014.7623, 984807.8, 3921080.2, 6390846.0]",[62.5  0.5]
"[3272002.8, 2014.7623, 901798.75, 3631718.0, 6373152.0]",[62.5  0.5]
"[3523693.0, 2014.7623, 973297.4, 3978357.2, 6793982.0]",[62.5  0.5]
"[3139419.0, 2014.7623, 872232.2, 3570575.0, 6021915.5]",[62.5  0.5]
"[3538146.5, 2014.7623, 1014669.4, 4095889.0, 6683257.0]",[62.5  0.5]
"[3176857.2, 2014.7623, 893736.6, 3636058.8, 6059722.0]",[62.5  0.5]
"[3428548.5, 2014.7623, 944495.3, 3919787.8, 6564204.5]",[62.5  0.5]
"[3220975.5, 2014.7623, 874008.1, 3605786.0, 6256784.5]",[62.5  0.5]
"[3325887.0, 2014.7623, 903053.0, 3747654.8, 6435575.5]",[62.5  0.5]
"[3357488.5, 2014.7623, 921429.0, 3751871.0, 6518320.5]",[62.5  0.5]
"[3426241.5, 2014.7623, 921745.1, 3815152.0, 6683901.0]",[62.5  0.5]
"[3141117.5, 2014.7623, 818464.0, 3556232.0, 6095688.5]",[62.5  0.5]
"[3503247.2, 2014.7623, 976188.3, 3940049.8, 6761245.5]",[62.5  0.5]
"[3284018.0, 2014.7623, 873476.3, 3791498.0, 6281745.0]",[62.5  0.5]
"[3290406.0, 2014.7623, 917321.4, 3690516.0, 6360175.0]",[62.5  0.5]
"[3285987.5, 2014.7623, 881963.4, 3790068.2, 6281253.0]",[62.5  0.5]
"[3324342.0, 2014.7623, 925862.4, 3745534.0, 6409736.0]",[62.5  0.5]
"[2990598.0, 2014.7623, 818746.4, 3371020.0, 5778886.0]",[62.5  0.5]
"[3374318.2, 2014.7623, 890708.4, 3815927.8, 6541084.5]",[62.5  0.5]
"[3132653.5, 2014.7623, 865583.75, 3539001.0, 6037586.0]",[62.5  0.5]
"[3069483.5, 2014.7623, 838156.3, 3498143.0, 5895305.5]",[62.5  0.5]
"[3210975.5, 2014.7623, 901585.44, 3688852.8, 6112807.0]",[62.5  0.5]
"[3413653.0, 2014.7623, 937277.94, 3824481.2, 6617077.5]",[62.5  0.5]
"[3498453.0, 2014.7623, 973996.75, 4023577.0, 6663929.5]",[62.5  0.5]
"[3269455.2, 2014.7623, 909871.06, 3650569.0, 6337737.0]",[62.5  0.5]
"[3288534.5, 2014.7623, 895539.8, 3687835.8, 6378398.5]",[62.5  0.5]
"[3508816.5, 2014.7623, 970538.6, 3988054.0, 6737455.5]",[62.5  0.5]
"[3074804.0, 2014.7623, 886054.44, 3503129.2, 5860155.0]",[62.5  0.5]
"[2992334.8, 2014.7623, 876828.3, 3425095.2, 5672518.5]",[62.5  0.5]
"[3315190.5, 2014.7623, 912722.1, 3755482.8, 6382423.5]",[62.5  0.5]
"[3044399.5, 2014.7623, 839824.1, 3496390.8, 5811777.0]",[62.5  0.5]
"[3082324.0, 2014.7623, 887792.8, 3511567.0, 5875047.0]",[62.5  0.5]
"[3199450.2, 2014.7623, 904918.2, 3644366.0, 6115542.5]",[62.5  0.5]
"[3319483.5, 2014.7623, 951933.25, 3878576.2, 6234428.0]",[62.5  0.5]
"[3380193.8, 2014.7623, 965646.4, 3871259.8, 6430399.0]",[62.5  0.5]
"[3090829.0, 2014.7623, 833938.2, 3424376.2, 6044441.5]",[62.5  0.5]
"[3183668.0, 2014.7623, 909920.56, 3658236.0, 6044062.5]",[62.5  0.5]
"[3017807.0, 2014.7623, 889796.1, 3406182.0, 5763371.5]",[62.5  0.5]
"[3364085.2, 2014.7623, 959178.7, 3737308.0, 6517123.5]",[62.5  0.5]
"[3643215.8, 2014.7623, 1008252.8, 4190801.0, 6944991.5]",[62.5  0.5]
"[3367774.8, 2014.7623, 880935.6, 3789665.0, 6555308.0]",[62.5  0.5]
"[3022382.8, 2014.7623, 874498.56, 3455248.0, 5744855.5]",[62.5  0.5]
"[3607206.5, 2014.7623, 1027146.06, 4022843.0, 6974025.0]",[62.5  0.5]
"[3278070.5, 2014.7623, 951676.5, 3718012.2, 6257206.0]",[62.5  0.5]
"[3268201.5, 2014.7623, 874645.6, 3627329.5, 6392023.5]",[62.5  0.5]
"[2874615.5, 2014.7623, 940443.5, 3289762.5, 5351839.0]",[62.5  0.5]
"[4268494.0, 2014.7623, 1224006.1, 4626141.0, 8378159.5]",[62.5  0.5]
"[3512418.2, 2014.7623, 903262.4, 4061666.8, 6743124.5]",[62.5  0.5]
"[3450322.5, 2014.7623, 968519.1, 3867235.0, 6665314.0]",[62.5  0.5]
"[3242721.0, 2014.7623, 918378.4, 3701344.5, 6189340.5]",[62.5  0.5]
"[3183945.8, 2014.7623, 889566.3, 3652019.0, 6071560.0]",[62.5  0.5]
"[3678813.8, 2014.7623, 1008346.2, 4172857.8, 7081501.0]",[62.5  0.5]
"[3485590.5, 2014.7623, 959468.44, 3941641.5, 6717517.5]",[62.5  0.5]
"[2972499.5, 2014.7623, 858922.4, 3414886.5, 5634516.0]",[62.5  0.5]
"[3238756.0, 2014.7623, 894408.56, 3624771.2, 6276666.5]",[62.5  0.5]
"[3280863.5, 2014.7623, 923431.44, 3742116.0, 6270657.5]",[62.5  0.5]
"[3032589.0, 2014.7623, 848572.1, 3477467.5, 5782583.5]",[62.5  0.5]
"[3575948.0, 2014.7623, 956775.44, 4019357.0, 6943687.5]",[62.5  0.5]
"[3055635.5, 2014.7623, 811999.5, 3474798.2, 5898647.0]",[62.5  0.5]
"[3165232.0, 2014.7623, 927268.2, 3596371.8, 6027125.5]",[62.5  0.5]
"[3261644.0, 2014.7623, 879044.1, 3687249.5, 6305846.0]",[62.5  0.5]
"[3336876.5, 2014.7623, 957791.2, 3774684.5, 6390439.5]",[62.5  0.5]
"[3169142.0, 2014.7623, 838597.25, 3583189.5, 6142012.5]",[62.5  0.5]
"[3239905.2, 2014.7623, 898786.25, 3702674.0, 6198217.0]",[62.5  0.5]
"[3442764.5, 2014.7623, 989996.9, 3937884.5, 6547992.5]",[62.5  0.5]
"[3000688.8, 2014.7623, 879673.3, 3442127.8, 5680487.5]",[62.5  0.5]
"[3445327.5, 2014.7623, 920222.44, 3909746.5, 6654448.5]",[62.5  0.5]
"[3588745.5, 2014.7623, 959941.5, 3981010.5, 7021525.5]",[62.5  0.5]
"[3380249.0, 2014.7623, 914546.6, 3845027.5, 6507915.5]",[62.5  0.5]
"[3254257.5, 2014.7623, 896646.1, 3656968.0, 6293903.5]",[62.5  0.5]
"[3313285.5, 2014.7623, 934158.56, 3763031.2, 6347088.0]",[62.5  0.5]
"[3205822.0, 2014.7623, 937672.5, 3610776.0, 6137617.5]",[62.5  0.5]
"[3083798.2, 2014.7623, 854551.3, 3510177.2, 5914592.0]",[62.5  0.5]
"[3070589.5, 2014.7623, 859264.94, 3508898.2, 5867128.5]",[62.5  0.5]
"[3378737.0, 2014.7623, 951815.25, 3814394.0, 6496240.0]",[62.5  0.5]
"[3025104.5, 2014.7623, 823600.94, 3375858.2, 5884216.0]",[62.5  0.5]
"[3241228.5, 2014.7623, 920150.56, 3660936.8, 6223000.5]",[62.5  0.5]
"[3344644.8, 2014.7623, 913756.7, 3872524.0, 6362528.0]",[62.5  0.5]
"[3216327.0, 2014.7623, 881826.0, 3687055.8, 6152202.0]",[62.5  0.5]
"[3037911.0, 2014.7623, 865440.3, 3451544.0, 5809378.0]",[62.5  0.5]
"[3665909.0, 2014.7623, 1033625.25, 4140332.8, 7045731.5]",[62.5  0.5]
"[3221559.0, 2014.7623, 908004.6, 3686319.0, 6144199.5]",[62.5  0.5]
"[3068349.0, 2014.7623, 832763.7, 3411595.0, 5983464.0]",[62.5  0.5]
"[3275889.5, 2014.7623, 906782.44, 3676804.0, 6336037.5]",[62.5  0.5]
"[3165945.0, 2014.7623, 893778.6, 3625941.8, 6033422.0]",[62.5  0.5]
"[3074774.0, 2014.7623, 886734.9, 3497218.8, 5865285.5]",[62.5  0.5]
"[3529766.8, 2014.7623, 1003449.56, 3955195.0, 6807237.5]",[62.5  0.5]
"[3062849.5, 2014.7623, 882725.06, 3464481.2, 5862284.5]",[62.5  0.5]
"[3230818.5, 2014.7623, 927691.8, 3681445.5, 6160251.0]",[62.5  0.5]
"[3155035.0, 2014.7623, 931187.1, 3625034.0, 5960555.5]",[62.5  0.5]
"[3630085.0, 2014.7623, 968691.8, 4135830.2, 6995753.5]",[62.5  0.5]
"[2804392.8, 2014.7623, 783070.25, 3200272.8, 5364625.5]",[62.5  0.5]
"[3017827.0, 2014.7623, 870891.7, 3440676.8, 5747847.5]",[62.5  0.5]
"[3014599.8, 2014.7623, 843163.75, 3420066.0, 5785429.0]",[62.5  0.5]
"[3223257.5, 2014.7623, 992885.2, 3665793.0, 6085506.0]",[62.5  0.5]
"[3070432.8, 2014.7623, 831943.0, 3413030.0, 5989795.5]",[62.5  0.5]
"[3511550.5, 2014.7623, 1045538.6, 4011923.8, 6647699.5]",[62.5  0.5]
"[3338977.5, 2014.7623, 949207.75, 3788397.5, 6392312.5]",[62.5  0.5]
"[3513013.5, 2014.7623, 937532.1, 4110661.5, 6661844.0]",[62.5  0.5]
"[3334582.2, 2014.7623, 922081.75, 3743526.5, 6449659.0]",[62.5  0.5]
"[3714814.8, 2014.7623, 1014957.44, 4238669.0, 7129082.5]",[62.5  0.5]
"[3010298.0, 2014.7623, 877818.6, 3478608.0, 5677893.5]",[62.5  0.5]
"[3187094.5, 2014.7623, 882506.06, 3576796.0, 6164339.0]",[62.5  0.5]
"[3123145.5, 2014.7623, 869294.3, 3556477.5, 5984706.0]",[62.5  0.5]
"[3214148.5, 2014.7623, 895134.56, 3653228.5, 6165458.5]",[62.5  0.5]
"[3157284.0, 2014.7623, 924040.44, 3584211.5, 6016021.0]",[62.5  0.5]
"[3278604.0, 2014.7623, 904396.8, 3678699.2, 6345576.0]",[62.5  0.5]
"[3094242.2, 2014.7623, 857514.6, 3551870.8, 5904748.5]",[62.5  0.5]
"[2933830.8, 2014.7623, 829533.2, 3336443.0, 5613452.5]",[62.5  0.5]
"[3329461.2, 2014.7623, 930532.1, 3672952.5, 6494712.5]",[62.5  0.5]
"[3061067.5, 2014.7623, 880499.56, 3492846.8, 5830204.5]",[62.5  0.5]
"[3271474.8, 2014.7623, 912361.75, 3740430.2, 6252117.0]",[62.5  0.5]
"[2998805.0, 2014.7623, 817946.06, 3434842.8, 5743220.0]",[62.5  0.5]
"[3186985.0, 2014.7623, 990703.1, 3647074.8, 5985498.5]",[62.5  0.5]
"[3273464.0, 2014.7623, 891669.2, 3683086.2, 6336784.0]",[62.5  0.5]
"[3288263.0, 2014.7623, 879735.75, 3662250.8, 6418883.5]",[62.5  0.5]
"[3387027.5, 2014.7623, 980114.6, 3865074.0, 6444895.5]",[62.5  0.5]
"[3189173.0, 2014.7623, 887355.6, 3655298.8, 6087915.0]",[62.5  0.5]
"[3137590.2, 2014.7623, 891378.94, 3597377.8, 5969870.5]",[62.5  0.5]
"[3288533.5, 2014.7623, 896419.9, 3714988.5, 6350363.0]",[62.5  0.5]
"[3318705.0, 2014.7623, 884416.2, 3764937.0, 6412989.5]",[62.5  0.5]
"[3185860.5, 2014.7623, 950779.0, 3643270.2, 6025478.0]",[62.5  0.5]
"[3543354.5, 2014.7623, 996693.9, 4002021.5, 6812459.5]",[62.5  0.5]
"[3161495.5, 2014.7623, 900199.3, 3598468.5, 6039643.5]",[62.5  0.5]
"[3065215.5, 2014.7623, 878957.1, 3452945.0, 5885475.0]",[62.5  0.5]
"[3201747.2, 2014.7623, 930071.56, 3595256.2, 6147156.0]",[62.5  0.5]
"[3522822.2, 2014.7623, 933999.44, 3990326.0, 6818408.0]",[62.5  0.5]
"[3223791.2, 2014.7623, 876461.06, 3632631.8, 6236870.5]",[62.5  0.5]
"[3441569.5, 2014.7623, 980064.1, 3879300.2, 6612527.0]",[62.5  0.5]
"[3096736.5, 2014.7623, 870431.9, 3474077.5, 5977938.0]",[62.5  0.5]
"[3427319.0, 2014.7623, 962717.4, 3819010.2, 6642662.0]",[62.5  0.5]
"[3288456.2, 2014.7623, 907362.6, 3691360.0, 6362791.5]",[62.5  0.5]
"[3205891.0, 2014.7623, 903588.3, 3583001.5, 6199706.0]",[62.5  0.5]
"[3289784.0, 2014.7623, 922645.0, 3716828.8, 6326465.5]",[62.5  0.5]
"[3223159.8, 2014.7623, 858543.5, 3655742.5, 6229572.5]",[62.5  0.5]
"[3232734.0, 2014.7623, 915048.44, 3685478.0, 6175246.0]",[62.5  0.5]
"[3280652.0, 2014.7623, 959329.7, 3743153.8, 6233016.5]",[62.5  0.5]
"[3159143.5, 2014.7623, 896039.75, 3566780.8, 6067650.5]",[62.5  0.5]
"[3143652.8, 2014.7623, 891023.25, 3547743.8, 6040068.5]",[62.5  0.5]
"[3234783.0, 2014.7623, 896568.1, 3721648.0, 6164386.5]",[62.5  0.5]
"[3275944.5, 2014.7623, 914259.3, 3748141.5, 6257407.5]",[62.5  0.5]
"[3032513.0, 2014.7623, 853672.8, 3403019.2, 5851677.0]",[62.5  0.5]
"[3411469.5, 2014.7623, 920675.06, 3849575.0, 6601307.5]",[62.5  0.5]
"[3007598.0, 2014.7623, 929281.5, 3386052.5, 5709985.0]",[62.5  0.5]
"[3173785.0, 2014.7623, 890433.25, 3603125.0, 6085717.5]",[62.5  0.5]
"[3376903.0, 2014.7623, 944392.6, 3798143.0, 6513800.5]",[62.5  0.5]
"[3097546.0, 2014.7623, 911758.75, 3618790.0, 5794597.5]",[62.5  0.5]
"[3441383.0, 2014.7623, 960880.5, 3882993.8, 6627396.0]",[62.5  0.5]
"[3270714.2, 2014.7623, 893595.75, 3680346.2, 6328432.0]",[62.5  0.5]
"[3104719.5, 2014.7623, 882532.25, 3512967.8, 5953557.5]",[62.5  0.5]
"[3204902.5, 2014.7623, 940449.75, 3625644.5, 6116907.5]",[62.5  0.5]
"[3009216.0, 2014.7623, 899102.4, 3434002.5, 5697608.5]",[62.5  0.5]
"[3216627.5, 2014.7623, 896350.56, 3656392.2, 6169341.0]",[62.5  0.5]
"[3602469.0, 2014.7623, 978339.5, 4018617.2, 7011266.0]",[62.5  0.5]
"[3144102.5, 2014.7623, 874326.75, 3561442.0, 6044566.0]",[62.5  0.5]
"[2984116.5, 2014.7623, 854816.56, 3371218.0, 5721012.5]",[62.5  0.5]
"[3020680.2, 2014.7623, 854549.4, 3489028.8, 5725349.0]",[62.5  0.5]
"[3123035.8, 2014.7623, 870878.25, 3563952.5, 5975281.5]",[62.5  0.5]
"[3419621.0, 2014.7623, 941948.3, 3872831.2, 6583950.0]",[62.5  0.5]
"[3153946.0, 2014.7623, 901764.06, 3546652.8, 6064729.0]",[62.5  0.5]
"[2989322.2, 2014.7623, 853544.0, 3337265.2, 5773591.0]",[62.5  0.5]
"[3060100.0, 2014.7623, 821681.06, 3458709.5, 5919935.0]",[62.5  0.5]
"[3472456.0, 2014.7623, 968265.1, 3893467.0, 6713114.5]",[62.5  0.5]
"[3390730.5, 2014.7623, 998623.6, 3818757.0, 6485047.0]",[62.5  0.5]
"[3314665.8, 2014.7623, 913276.6, 3710236.2, 6425366.0]",[62.5  0.5]
"[3373036.0, 2014.7623, 981438.9, 3848972.0, 6413035.0]",[62.5  0.5]
"[3329799.5, 2014.7623, 972105.5, 3767746.0, 6359472.5]",[62.5  0.5]
"[3103231.0, 2014.7623, 872974.7, 3556020.5, 5915100.5]",[62.5  0.5]
"[3214487.2, 2014.7623, 936839.94, 3614234.2, 6163876.0]",[62.5  0.5]
"[3172053.5, 2014.7623, 896599.0, 3571050.5, 6105855.0]",[62.5  0.5]
"[3425816.0, 2014.7623, 975721.6, 3928452.8, 6515205.0]",[62.5  0.5]
"[3478679.5, 2014.7623, 979240.25, 3957131.8, 6659218.5]",[62.5  0.5]
"[3012985.5, 2014.7623, 871390.1, 3408434.5, 5763453.0]",[62.5  0.5]
"[3006176.0, 2014.7623, 907345.9, 3438843.2, 5674390.5]",[62.5  0.5]
"[3422708.5, 2014.7623, 982035.5, 3895442.8, 6531543.5]",[62.5  0.5]
"[3004765.2, 2014.7623, 859852.75, 3401318.2, 5754706.0]",[62.5  0.5]
"[3723134.0, 2014.7623, 1034208.25, 4174279.2, 7201951.0]",[62.5  0.5]
"[3677016.8, 2014.7623, 1011211.44, 4177957.2, 7067546.5]",[62.5  0.5]
"[3413374.5, 2014.7623, 932769.4, 3829175.5, 6615963.0]",[62.5  0.5]
"[3306491.0, 2014.7623, 912533.2, 3748753.2, 6360342.5]",[62.5  0.5]
"[3081394.0, 2014.7623, 917343.06, 3485447.0, 5868516.0]",[62.5  0.5]
"[3337875.0, 2014.7623, 964061.94, 3812173.8, 6350007.0]",[62.5  0.5]
"[3417057.0, 2014.7623, 985787.6, 3857272.5, 6547122.5]",[62.5  0.5]
"[3238511.0, 2014.7623, 921504.0, 3685182.5, 6188343.5]",[62.5  0.5]
"[3013402.8, 2014.7623, 867882.25, 3446257.8, 5730528.5]",[62.5  0.5]
"[3139584.0, 2014.7623, 924337.2, 3516365.0, 6024570.5]",[62.5  0.5]
"[3656826.8, 2014.7623, 991734.7, 4065278.5, 7132402.5]",[62.5  0.5]
"[3205232.8, 2014.7623, 892121.5, 3621929.0, 6170051.5]",[62.5  0.5]
"[3395941.5, 2014.7623, 964681.06, 3841332.5, 6513784.5]",[62.5  0.5]
"[3318305.8, 2014.7623, 915763.4, 3768120.5, 6377128.0]",[62.5  0.5]
"[3181527.8, 2014.7623, 906834.6, 3600257.5, 6097993.5]",[62.5  0.5]
"[3225026.5, 2014.7623, 915263.56, 3636760.2, 6198057.0]",[62.5  0.5]
"[3129783.8, 2014.7623, 897418.8, 3592114.8, 5943072.0]",[62.5  0.5]
"[3043455.5, 2014.7623, 902347.9, 3450299.0, 5792198.0]",[62.5  0.5]
"[3193016.2, 2014.7623, 879167.25, 3572874.8, 6191338.0]",[62.5  0.5]
"[3071008.2, 2014.7623, 873947.75, 3485628.2, 5877111.0]",[62.5  0.5]
"[3114120.0, 2014.7623, 871800.3, 3501746.8, 6006845.5]",[62.5  0.5]
"[3153343.0, 2014.7623, 847476.4, 3585779.0, 6077880.5]",[62.5  0.5]
"[3246920.5, 2014.7623, 929537.9, 3686692.2, 6206831.5]",[62.5  0.5]
"[3113098.8, 2014.7623, 837586.3, 3468908.5, 6070494.0]",[62.5  0.5]
"[3364589.8, 2014.7623, 933877.75, 3683383.0, 6598031.0]",[62.5  0.5]
"[3515924.8, 2014.7623, 947093.0, 3956160.5, 6816488.5]",[62.5  0.5]
"[3305192.5, 2014.7623, 902153.2, 3698727.5, 6416420.5]",[62.5  0.5]
"[3265311.5, 2014.7623, 902571.75, 3698390.5, 6283402.5]",[62.5  0.5]
"[3164621.0, 2014.7623, 850625.1, 3573458.2, 6124646.0]",[62.5  0.5]
"[3457286.8, 2014.7623, 953206.6, 3904617.2, 6666458.0]",[62.5  0.5]
"[3143245.5, 2014.7623, 857622.1, 3527537.2, 6092319.0]",[62.5  0.5]
"[3363774.0, 2014.7623, 943859.94, 3774402.5, 6494310.5]",[62.5  0.5]
"[3326907.0, 2014.7623, 939886.94, 3766452.0, 6383343.5]",[62.5  0.5]
"[3311487.0, 2014.7623, 901489.9, 3732838.8, 6403954.5]",[62.5  0.5]
"[3058755.5, 2014.7623, 875861.4, 3497657.2, 5822326.0]",[62.5  0.5]
"[3197471.0, 2014.7623, 936122.3, 3679268.2, 6042838.5]",[62.5  0.5]
"[2998680.5, 2014.7623, 838345.75, 3381313.0, 5775936.0]",[62.5  0.5]
"[3262921.5, 2014.7623, 930222.6, 3717022.0, 6229152.5]",[62.5  0.5]
"[3358821.0, 2014.7623, 954344.94, 3711708.2, 6530010.0]",[62.5  0.5]
"[3186548.5, 2014.7623, 892353.56, 3540662.0, 6188805.5]",[62.5  0.5]
"[3283182.5, 2014.7623, 938880.56, 3748976.5, 6256077.5]",[62.5  0.5]
"[2846509.0, 2014.7623, 807520.3, 3283895.5, 5396940.5]",[62.5  0.5]
"[3668998.5, 2014.7623, 1119963.4, 4163488.0, 6946536.0]",[62.5  0.5]
"[2909755.0, 2014.7623, 865994.56, 3316703.5, 5516478.5]",[62.5  0.5]
"[3155152.5, 2014.7623, 934564.44, 3628223.8, 5954379.5]",[62.5  0.5]
"[2786506.2, 2014.7623, 775960.4, 3181810.0, 5330576.5]",[62.5  0.5]
"[3408497.5, 2014.7623, 928289.06, 3788936.5, 6644425.5]",[62.5  0.5]
"[3296069.5, 2014.7623, 913023.1, 3711069.2, 6362798.5]",[62.5  0.5]
"[3290852.5, 2014.7623, 909717.44, 3793596.5, 6266187.5]",[62.5  0.5]
"[3049351.5, 2014.7623, 879426.1, 3408713.8, 5876358.0]",[62.5  0.5]
"[3167043.5, 2014.7623, 860600.75, 3566911.2, 6129292.5]",[62.5  0.5]
"[3066321.5, 2014.7623, 882525.94, 3488025.0, 5850514.0]",[62.5  0.5]
"[3507666.0, 2014.7623, 918040.2, 3848455.5, 6925717.0]",[62.5  0.5]
"[3784742.5, 2014.7623, 1030761.6, 4041848.5, 7543191.5]",[62.5  0.5]
"[3019230.2, 2014.7623, 900589.1, 3418135.2, 5745369.5]",[62.5  0.5]
"[3627694.2, 2014.7623, 1042862.5, 4073629.5, 6975815.0]",[62.5  0.5]
"[3174900.5, 2014.7623, 872295.44, 3586880.5, 6123819.0]",[62.5  0.5]
"[3874158.8, 2014.7623, 1046570.4, 4202739.5, 7664545.5]",[62.5  0.5]
"[3284237.0, 2014.7623, 932978.94, 3702883.0, 6311587.0]",[62.5  0.5]
"[3348041.0, 2014.7623, 987056.94, 3790705.0, 6382368.0]",[62.5  0.5]
"[3035977.5, 2014.7623, 871659.3, 3432480.0, 5815779.0]",[62.5  0.5]
"[3203613.0, 2014.7623, 924496.9, 3628864.8, 6125342.0]",[62.5  0.5]
"[3240010.2, 2014.7623, 887650.25, 3670020.8, 6242356.0]",[62.5  0.5]
"[3483962.5, 2014.7623, 1008426.1, 3960323.8, 6644451.5]",[62.5  0.5]
"[3734102.8, 2014.7623, 1002240.5, 4137177.8, 7307584.0]",[62.5  0.5]
"[2888546.2, 2014.7623, 845179.94, 3303811.2, 5479489.0]",[62.5  0.5]
"[3104312.0, 2014.7623, 963516.8, 3496144.2, 5888037.5]",[62.5  0.5]
"[3540477.0, 2014.7623, 1050311.8, 3997748.5, 6753522.5]",[62.5  0.5]
"[3191571.0, 2014.7623, 912204.25, 3634877.5, 6091481.5]",[62.5  0.5]
"[3319224.0, 2014.7623, 887064.6, 3814105.0, 6362903.0]",[62.5  0.5]
"[3622221.5, 2014.7623, 980673.0, 4058772.5, 7034619.5]",[62.5  0.5]
"[3085962.0, 2014.7623, 927167.44, 3523578.0, 5835787.5]",[62.5  0.5]
"[3594984.2, 2014.7623, 1045713.2, 4068843.8, 6868717.0]",[62.5  0.5]
"[3211610.2, 2014.7623, 924961.2, 3660702.5, 6119697.0]",[62.5  0.5]
"[3243254.8, 2014.7623, 931071.3, 3632785.8, 6246985.0]",[62.5  0.5]
"[3141709.5, 2014.7623, 917273.06, 3527003.5, 6028081.5]",[62.5  0.5]
"[2984512.5, 2014.7623, 863618.6, 3416876.0, 5667874.0]",[62.5  0.5]
"[3592951.5, 2014.7623, 1009687.44, 4103997.0, 6862814.0]",[62.5  0.5]
"[3576400.2, 2014.7623, 1064168.2, 3994878.8, 6862280.0]",[62.5  0.5]
"[3161830.5, 2014.7623, 882042.8, 3531505.2, 6125880.0]",[62.5  0.5]
"[3100698.5, 2014.7623, 880142.8, 3511421.5, 5944090.0]",[62.5  0.5]
"[3317813.0, 2014.7623, 951965.2, 3758383.8, 6349020.0]",[62.5  0.5]
"[3340670.0, 2014.7623, 928413.75, 3757764.5, 6449381.5]",[62.5  0.5]
"[3480569.2, 2014.7623, 1013690.94, 3953687.0, 6634512.5]",[62.5  0.5]
"[3221396.5, 2014.7623, 880505.44, 3669252.5, 6188223.5]",[62.5  0.5]
"[3511393.5, 2014.7623, 969065.4, 3968346.2, 6767226.0]",[62.5  0.5]
"[3291664.0, 2014.7623, 922768.3, 3762157.2, 6287281.0]",[62.5  0.5]
"[3365864.8, 2014.7623, 930314.56, 3747478.5, 6541749.0]",[62.5  0.5]
"[3623954.0, 2014.7623, 1057378.5, 3984717.0, 7037744.0]",[62.5  0.5]
"[3246252.8, 2014.7623, 910388.6, 3733351.0, 6177095.5]",[62.5  0.5]
"[3165911.0, 2014.7623, 874364.9, 3592368.2, 6086296.5]",[62.5  0.5]
"[3597645.0, 2014.7623, 1027899.0, 4029135.0, 6935108.5]",[62.5  0.5]
"[3309041.0, 2014.7623, 969668.3, 3703989.8, 6356472.0]",[62.5  0.5]
"[3093089.5, 2014.7623, 886779.8, 3549681.2, 5873830.5]",[62.5  0.5]
"[3206608.2, 2014.7623, 922303.7, 3584596.5, 6181787.0]",[62.5  0.5]
"[3242716.5, 2014.7623, 912094.7, 3665302.2, 6231651.5]",[62.5  0.5]
"[3339776.5, 2014.7623, 1029738.44, 3849210.2, 6253633.0]",[62.5  0.5]
"[3138993.0, 2014.7623, 886274.75, 3550154.8, 6026872.5]",[62.5  0.5]
"[3312615.0, 2014.7623, 946702.7, 3786121.2, 6309219.0]",[62.5  0.5]
"[3250481.0, 2014.7623, 859264.1, 3651820.0, 6323845.0]",[62.5  0.5]
"[3560295.5, 2014.7623, 967749.5, 3933471.8, 6966423.5]",[62.5  0.5]
"[3144763.0, 2014.7623, 905738.9, 3510364.0, 6066433.0]",[62.5  0.5]
"[3053481.0, 2014.7623, 851292.1, 3464991.5, 5861979.0]",[62.5  0.5]
"[3239099.0, 2014.7623, 913001.06, 3614080.5, 6269908.0]",[62.5  0.5]
"[3301089.2, 2014.7623, 929085.0, 3686235.0, 6388304.0]",[62.5  0.5]
"[3706230.0, 2014.7623, 1043628.0, 4131093.5, 7179371.5]",[62.5  0.5]
"[3304503.5, 2014.7623, 913080.56, 3693084.2, 6408840.0]",[62.5  0.5]
"[3359406.0, 2014.7623, 951152.0, 3777900.0, 6468961.0]",[62.5  0.5]
"[3286147.5, 2014.7623, 935584.7, 3760866.5, 6257367.0]",[62.5  0.5]
"[3023012.5, 2014.4017, 842583.94, 3459886.8, 5774230.0]",[62.5  0.5]
"[3348416.0, 2014.7623, 906723.25, 3702143.8, 6552513.0]",[62.5  0.5]
"[3016143.0, 2014.7623, 847585.9, 3422724.8, 5783492.0]",[62.5  0.5]
"[3351157.8, 2014.7623, 900352.75, 3782565.5, 6487600.0]",[62.5  0.5]
"[3397673.0, 2014.7623, 985237.2, 3836962.5, 6503370.0]",[62.5  0.5]
"[3243060.8, 2014.7623, 920054.06, 3647727.5, 6242414.0]",[62.5  0.5]
"[3181863.5, 2014.7623, 897424.44, 3592316.0, 6116464.0]",[62.5  0.5]
"[3225974.0, 2014.7623, 958431.8, 3678545.5, 6116262.0]",[62.5  0.5]
"[3303146.5, 2014.7623, 956904.5, 3721121.2, 6332456.0]",[62.5  0.5]
"[3599704.2, 2014.7623, 1030523.9, 4038564.0, 6929919.0]",[62.5  0.5]
"[3208374.0, 2014.7623, 911149.06, 3521068.0, 6262355.0]",[62.5  0.5]
"[3297877.2, 2014.7623, 898140.06, 3725854.2, 6368922.5]",[62.5  0.5]
"[3237423.2, 2014.7623, 884173.3, 3701971.0, 6205259.5]",[62.5  0.5]
"[3358389.5, 2014.7623, 942600.9, 3702023.5, 6550000.0]",[62.5  0.5]
"[3196403.8, 2014.7623, 914903.9, 3611014.5, 6128754.0]",[62.5  0.5]
"[3348771.5, 2014.7623, 926156.6, 3764281.2, 6472126.5]",[62.5  0.5]
